,smiles,idx,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,MaxEStateIndex,MinEStateIndex,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,InertialShapeFactor,PBF,FractionCSP2,NegativecenterType,EDGRatioNegCenter,EWGRatioNegCenter,C_ratio,H_ratio,O_ratio,N_ratio,F_ratio,S_ratio,B_ratio,P_ratio,predict_al,predict_solv,sascore,scscore,spatial,capacity,ranker_al
607,[H][B-]([H])(C(C)CC)C(C)CC,607,9.0,9.0,1.0,4.0,0.0,127.06,106.89999999999998,0.0,2.5920000000000005,47.97400000000003,56.0,-0.0268125154430019,-0.1751638953663668,1.0,1.3333333333333333,1.5555555555555556,2.395,0.375,0.4041957720219584,0.964167303709424,0.265294949928753,0.8372019087617322,198.12295097188056,625.2245388301241,746.8025720998005,2.485713992245034,0.2800765674298814,0.0042256684783609,0.7188034322133762,0.0,1.0,0.0,-0.026812515443002,0.2758620689655173,0.689655172413793,0.0,0.0,0.0,0.0,0.0344827586206896,0.0,2.5156888593606803,-0.0681315200892773,5.0724888749644865,1.5877876304416383,156.0,0.0,0.3843111406393196
608,[H][B-]([H])(C(C)CC)C1CCCC1,608,10.0,10.0,1.0,3.0,0.0,139.071,118.91099999999996,0.0,2.7361000000000013,50.47700000000004,60.0,-0.0264715391240262,-0.1751513895580744,1.4,2.0,2.5,2.4427777777777777,0.4305555555555556,0.4271561617632917,0.9680213050249996,0.2508679991902054,0.850176313686823,207.66464793201337,703.762797295049,827.7845265332717,2.500592772056832,0.2920523916571588,0.0040939867336743,0.725086897372696,0.0,1.0,0.0,-0.0264715391240262,0.3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0333333333333333,0.0,2.54582047534993,-0.0676751794642798,4.603882327704762,2.882488120912412,234.0,0.0,0.35417952465006985
609,[H][B-]([H])(C1CCCC1)C1CCCC1,609,11.0,11.0,1.0,2.0,0.0,151.08199999999997,130.92199999999997,0.0,2.880200000000001,52.98000000000005,64.0,-0.0261305674121551,-0.1720858369058628,0.6363636363636364,1.0,1.3636363636363635,1.6076388888888888,0.4861111111111111,0.5430344221582677,0.982099385508752,0.1883634704058396,0.9507407938929128,187.48987404675387,946.3314267571852,995.3621774051863,2.654514996939278,0.3297394883457693,0.0050708914213459,0.8255111809263456,0.0,1.0,0.0,-0.0261305674121551,0.3225806451612902,0.6451612903225803,0.0,0.0,0.0,0.0,0.032258064516129,0.0,2.4765269424496776,-0.0668214810267773,4.037976560073453,1.8995016118791552,312.0,0.0,0.4234730575503223
610,[H][B-](C)(C)C,610,4.0,4.0,1.0,0.0,0.0,56.925,46.845,0.0,1.1029,24.740999999999985,26.0,-0.0254090449385754,-0.1934813383346469,1.0,1.0,1.0,2.25,0.25,0.1577095641387114,0.8323814776811467,0.5542030996064085,0.5951763727251892,67.13341556547864,72.09671471215334,121.1350416718282,1.5122546460896602,0.4219297270657935,0.0088655756259665,0.585570302759555,0.0,1.0,0.0,-0.0254090449385754,0.2142857142857142,0.7142857142857141,0.0,0.0,0.0,0.0,0.0714285714285714,0.0,2.895990007092942,-0.074391659375,5.37497881569875,1.4025506902437004,36.0,0.0,0.0040099929070578355
611,[H][B-](C)(C)CC,611,5.0,5.0,1.0,1.0,0.0,70.952,58.856,0.0,1.493,29.357999999999983,32.0,-0.0226248538090199,-0.1932404522222943,1.4,1.6,1.6,2.305555555555556,0.2638888888888888,0.2582277391191914,0.9262969762259528,0.3767942566370364,0.7738307293248378,77.71834560883019,159.61189164922484,206.2620229471698,1.768050482928733,0.3934972619880127,0.0099568605489836,0.6459533529095407,0.0,1.0,0.0,-0.0226248538090199,0.2352941176470588,0.7058823529411765,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,2.890271768911811,-0.0749432468750029,4.885145864805846,1.3393290883530589,48.0,0.0,0.009728231088188988
612,[H][B-](C)(C)O,612,4.0,4.0,2.0,0.0,1.0,58.897000000000006,50.833000000000006,20.23,-0.0378999999999999,21.0958,26.0,0.089971914369279,-0.6073566735621861,1.5,1.5,1.5,8.13888888888889,-0.75,0.1565756801768068,0.8248214656762511,0.5653932699985744,0.584534280624018,63.88534042371715,66.04813585257597,112.99275002668185,1.4360700242255944,0.4216036535645008,0.0091497404059697,0.5337365325636056,0.0,8.0,0.0,0.089971914369279,0.1666666666666666,0.6666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0,2.643484219233796,-0.0833087921875006,5.618930738775672,1.418700777041258,36.0,0.0,0.25651578076620396
613,[H][B-](C)(C)C(C)CC,613,7.0,7.0,1.0,2.0,0.0,99.006,82.87799999999999,0.0,2.2732,38.592,44.0,-0.0195000482585613,-0.1929851014455498,1.4285714285714286,1.8571428571428568,1.8571428571428568,2.355324074074074,0.1875,0.1455466405718399,0.8678044161041334,0.4969059220719392,0.85707996404257,165.531859110895,285.51489035006097,333.12514856067713,1.9900311851424577,0.5582755193410319,0.0051777341754398,0.872290472023639,0.0,1.0,0.0,-0.0195000482585613,0.2608695652173913,0.6956521739130432,0.0,0.0,0.0,0.0,0.0434782608695652,0.0,2.794427537888968,-0.0685741471679632,4.980871453823528,1.6168087777668552,105.0,0.0,0.1055724621110321
614,[H][B-](C)(C)C1CCCC1,614,8.0,8.0,1.0,1.0,0.0,111.017,94.88899999999998,0.0,2.417300000000001,41.095000000000006,48.0,-0.0191597867153398,-0.1929725218976445,1.125,1.625,1.875,2.426574074074074,0.2430555555555555,0.3518133755360798,0.9532684568112058,0.3021245591619164,0.7858050779508601,142.51335764753324,370.6673844255128,471.7039821021521,2.106119258055722,0.299655410283243,0.0055139047379286,0.6589287870273943,0.0,1.0,0.0,-0.0191597867153398,0.2916666666666666,0.6666666666666665,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,2.648466160020341,-0.067489994034087,4.335730008636597,1.5948273605179613,183.0,0.0,0.25153383997965895
615,[H][B-](C)(CC)CC,615,6.0,6.0,1.0,2.0,0.0,84.979,70.86699999999999,0.0,1.8831,33.97499999999999,38.0,-0.0198312348706298,-0.192999003389702,1.1666666666666667,1.5,1.5,2.361111111111111,0.2777777777777777,0.1853468435550482,0.8713201687154548,0.4907149514633431,0.6286921486104213,147.6117988207305,189.1166728955613,300.80966227041336,1.9367888559519644,0.3397217133967283,0.0042590914387131,0.6277850865918285,0.0,1.0,0.0,-0.0198312348706298,0.25,0.7000000000000001,0.0,0.0,0.0,0.0,0.05,0.0,2.7244104386811028,-0.0714388018554668,4.952518240593854,1.0941965350654148,60.0,0.0,0.17558956131889714
616,[H][B-](C)(O)CC,616,5.0,5.0,2.0,1.0,1.0,72.924,62.844,20.23,0.3521999999999999,25.712799999999987,32.0,0.092579415248254,-0.6071486928241338,1.8,2.0,2.0,8.444444444444445,-0.7361111111111112,0.1517451119532425,0.871037862664934,0.4912158810585255,0.7766055601641506,83.86794838736029,132.59407431378196,170.73541719911924,1.629356057518008,0.4684464022481281,0.0092598611877,0.6539680172407125,0.0,8.0,0.0,0.092579415248254,0.2,0.6666666666666666,0.0666666666666666,0.0,0.0,0.0,0.0666666666666666,0.0,2.501258382818216,-0.0826825875000025,5.479376208452477,1.292364449263998,75.0,0.0,0.3987416171817837
